name,family,size,wing span
Adonis Blue,Blues,Small/Medium,38mm
Black Hairstreak,Hairstreaks,Small/Medium,37mm
Brimstone,Whites and Yellows ,Large,60mm
Brown Argus,Blues,Small,29mm
Brown Hairstreak,Hairstreaks,Small/Medium,38-40mm
Chalk Hill Blue,Blues,Small/Medium,38mm
Clouded Yellow,Whites and yellows,Large ,57-62mm
Common Blue,Blues,Small,35mm
Dark Green Fritillary,Fritillaries,Large,63-69mm
Dingy Skipper,Skippers,Small,29mm
Gatekeeper,Browns,Medium,40-47mm
Glanville Fritillary,Fritllaries,Small/Medium,41-47mm
Grayling,Browns,Medium/Large,55-60mm
Green Hairstreak,Hairstreaks,Small,27-34mm
Green-veined White,Whites and yellows,Medium,50mm
Heath Fritillary,Fritillaries,Small/Medium,47-50mm
High Brown Fritillary,Fritillaries,Large,60-67mm
Holly Blue,Blues,Small , 35mm
Large Heath,Browns,Small/Medium,41mm
Large Skipper,Skippers,Small,33-35mm
Large Tortoiseshell,Nymphalids,Large,68-75mm
Large White,Whites and yellows,Large , 63-70mm
Lulworth Skipper,Skippers,Small,25-27mm
Marbled White,Browns,Medium,53-58mm
Meadow Brown,Browns,Medium,50-55mm
Monarch,Nymphalids,Large,95-100mm
Northern Brown Argus,Blues,Small,29mm
Orange-tip,Whites and yellows,Medium,45-50mm
Painted Lady,Nymphalids,Medium,50-56mm
Peacock,Nymphalids,Medium/Large ,63-69mm
Pearl-bordered Fritillary,Fritillaries,Medium,44-47mm
Purple Emperor,Nymphalids,Large,75-84mm
Purple Hairstreak,Hairstreaks,Small,37-39mm
Red Admiral,Nymphalids,Large, 67-72mm
Ringlet,Browns,Medium,48-52mm
Scotch Argus,Browns,Medium,35-40mm
Silver-spotted Skipper,Skippers,Small ,30-36mm
Silver-studded Blue,Blues,Small ,29-31mm
Silver-washed Fritillary,Fritillaries,Large,72-76mm
Small Blue,Blues,Small ,20-30mm
Small Copper,Coppers,Small,32-35mm
Small Heath,Browns,Small,34-38mm
Small Pearl-bordered Fritillary,Fritillaries,Medium,41-44mm
Small Skipper,Skippers,Small ,30mm
Small Tortoiseshell,Nymphalids,Medium/Large,50-56mm
Small White,Whites and yellows,Medium,48mm
Speckled Wood,Browns,Medium ,47-50mm
Swallowtail,Swallowtails,Large,80-90mm
Wall,Browns,Medium,44 - 46mm
White-letter Hairstreak,Hairstreaks,Small/Medium,36mm
Wood White,Whites and yellows,Medium, 42mm
